,Indicator,Country,Date,value
0,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-10,3285.0
1,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-10,9343.0
2,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-10,11619.0
3,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-10,1.0
4,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-10,8.0
5,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-10,20.0
6,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-10,1.0
7,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-10,1.0
8,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-10,4.0
9,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-06,3248.0
10,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-06,9249.0
11,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-06,11517.0
12,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-06,1.0
13,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-06,8.0
14,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-06,20.0
15,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-06,1.0
16,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-06,1.0
17,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-06,4.0
18,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-05,3237.0
19,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-05,9249.0
20,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-05,11497.0
21,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-05,1.0
22,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-05,8.0
23,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-05,20.0
24,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-05,1.0
25,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-05,1.0
26,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-05,4.0
