,Indicator,Country,Date,value
0,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-10,2170.0
1,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-10,4162.0
2,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-10,3629.0
3,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-10,0.0
4,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-10,6.0
5,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-10,8.0
6,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-10,0.0
7,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-10,0.0
8,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-10,1.0
9,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-06,0.0
10,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-06,2147.0
11,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-06,4117.0
12,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-06,3576.0
13,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-06,6.0
14,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-06,8.0
15,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-06,0.0
16,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-06,0.0
17,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-06,1.0
18,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-05,0.0
19,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-05,2141.0
20,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-05,4117.0
21,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-05,3565.0
22,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-05,6.0
23,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-05,8.0
24,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-05,0.0
25,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-05,0.0
26,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-05,1.0
27,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-04,0.0
28,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-04,6.0
29,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-04,8.0
30,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-04,0.0
31,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-04,0.0
32,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-04,1.0
33,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-04,2127.0
34,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-04,4057.0
35,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-04,3530.0
36,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-02,0.0
37,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-02,2127.0
38,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-02,4057.0
39,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-02,3530.0
40,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-02,6.0
41,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-02,8.0
42,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-02,0.0
43,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-02,0.0
44,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-02,1.0
45,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-27,0.0
46,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-27,2113.0
47,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-27,4057.0
48,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-27,3490.0
49,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-27,6.0
50,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-27,8.0
51,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-27,0.0
52,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-27,0.0
53,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-27,1.0
54,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-26,0.0
55,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-26,2101.0
56,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-26,4057.0
57,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-26,3479.0
58,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-26,6.0
59,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-26,8.0
60,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-26,0.0
61,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-26,0.0
62,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-26,1.0
63,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-25,0.0
64,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-25,2091.0
65,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-25,4037.0
66,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-25,3461.0
67,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-25,6.0
68,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-25,8.0
69,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-25,0.0
70,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-25,0.0
71,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-25,1.0
72,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-23,0.0
73,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-23,2086.0
74,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-23,4032.0
75,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-23,3423.0
76,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-23,6.0
77,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-23,8.0
78,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-23,0.0
79,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-23,0.0
80,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-23,1.0
81,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-20,0.0
82,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-20,2072.0
83,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-20,3947.0
84,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-20,3423.0
85,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-20,6.0
86,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-20,8.0
87,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-20,0.0
88,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-20,0.0
89,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-20,1.0
90,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-19,0.0
91,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-19,2067.0
92,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-19,3947.0
93,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-19,3423.0
94,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-19,6.0
95,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-19,8.0
96,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-19,0.0
97,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-19,0.0
98,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-19,1.0
99,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-18,0.0
100,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-18,2057.0
101,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-18,3408.0
102,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-18,3900.0
103,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-18,6.0
104,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-18,8.0
105,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-18,0.0
106,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-18,0.0
107,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-18,1.0
108,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-17,0.0
109,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-17,2057.0
110,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-17,3900.0
111,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-17,3408.0
112,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-17,6.0
113,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-17,8.0
114,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-17,0.0
115,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-17,0.0
116,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-17,1.0
117,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-16,0.0
118,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-16,2052.0
119,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-16,3900.0
120,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-16,3401.0
121,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-16,6.0
122,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-16,8.0
123,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-16,0.0
124,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-16,0.0
125,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-16,1.0
126,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-13,2032.0
127,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-13,3858.0
128,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-13,3363.0
129,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-13,0.0
130,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-13,6.0
131,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-13,8.0
132,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-13,0.0
133,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-13,0.0
134,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-13,1.0
135,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-12,0.0
136,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-12,2018.0
137,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-12,3826.0
138,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-12,3350.0
139,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-12,6.0
140,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-12,8.0
141,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-12,0.0
142,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-12,0.0
143,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-12,1.0
144,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-11,0.0
145,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-11,1995.0
146,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-11,3341.0
147,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-11,3826.0
148,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-11,6.0
149,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-11,8.0
150,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-11,0.0
151,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-11,0.0
152,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-11,1.0
153,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-10,1995.0
154,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-10,3826.0
155,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-10,3341.0
156,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-10,0.0
157,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-10,6.0
158,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-10,8.0
159,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-10,0.0
160,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-10,0.0
161,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-10,1.0
162,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-06,0.0
163,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-06,1957.0
164,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-06,3746.0
165,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-06,3301.0
166,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-06,6.0
167,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-06,8.0
168,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-06,0.0
169,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-06,0.0
170,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-06,1.0
171,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-05,0.0
172,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-05,1947.0
173,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-05,3746.0
174,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-05,3286.0
175,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-05,6.0
176,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-05,8.0
177,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-05,0.0
178,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-05,0.0
179,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-05,1.0
180,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-04,0.0
181,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-04,1944.0
182,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-04,3746.0
183,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-04,3276.0
