,Indicator,Country,Date,value
0,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-10,3285.0
1,Cumulative number of confirmed Ebola cases,Guinea,2015-03-10,2871.0
2,Cumulative number of probable Ebola cases,Guinea,2015-03-10,392.0
3,Cumulative number of suspected Ebola cases,Guinea,2015-03-10,22.0
4,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-10,2170.0
5,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-10,1778.0
6,Cumulative number of probable Ebola deaths,Guinea,2015-03-10,392.0
7,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-10,9343.0
8,Cumulative number of confirmed Ebola cases,Liberia,2015-03-10,3150.0
9,Cumulative number of probable Ebola cases,Liberia,2015-03-10,1879.0
10,Cumulative number of suspected Ebola cases,Liberia,2015-03-10,4314.0
11,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-10,4162.0
12,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-10,11619.0
13,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-10,8428.0
14,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-10,287.0
15,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-10,2904.0
16,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-10,3629.0
17,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-10,3263.0
18,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-10,208.0
19,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-10,158.0
20,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-10,1.0
21,Cumulative number of probable Ebola cases,United Kingdom,2015-03-10,0.0
22,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-10,0.0
23,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-10,0.0
24,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-10,1.0
25,Cumulative number of confirmed Ebola cases,Mali,2015-03-10,7.0
26,Cumulative number of probable Ebola cases,Mali,2015-03-10,1.0
27,Cumulative number of suspected Ebola cases,Mali,2015-03-10,0.0
28,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-10,6.0
